Date ,,Km CAP Semaine,Sensation Semaine,Sport ,,Km/tps,Commentaire,Strava,,,,,,
lundi 9 novembre 2020,,,,CAP 🏃‍♂️,,20km,,,,,,,,
mardi 10 novembre 2020,,,,,,,,,,,,,,
mercredi 11 novembre 2020,,,,,,,,,,,,,,
jeudi 12 novembre 2020,,,,,,,,,,,,,,
vendredi 13 novembre 2020,,,,,,,,,,,,,,
samedi 14 novembre 2020,,,,Velo 🚴,,1h35,,,,,,,,
dimanche 15 novembre 2020,,,,,,,,,,,,,,
lundi 16 novembre 2020,,,,,,,,,,,,,,
mardi 17 novembre 2020,,,,,,,,,,,,,,
mercredi 18 novembre 2020,,,,,,,,,,,,,,
jeudi 19 novembre 2020,,,,,,,,,,,,,,
vendredi 20 novembre 2020,,,,CAP 🏃‍♂️,,2km,,,,,,,,
samedi 21 novembre 2020,,,,,,,,,,,,,,
dimanche 22 novembre 2020,,,,,,,,,,,,,,
lundi 23 novembre 2020,,,,,,,,,,,,,,
mardi 24 novembre 2020,,,,,,,,,,,,,,
mercredi 25 novembre 2020,,,,,,,,,,,,,,
jeudi 26 novembre 2020,,,,CAP 🏃‍♂️,,7km,,,,,,,,
vendredi 27 novembre 2020,,,,,,,,,,,,,,
samedi 28 novembre 2020,,,,,,,,,,,,,,
dimanche 29 novembre 2020,,,,Velo 🚴,,2h29,,,,,,,,
lundi 30 novembre 2020,,,,,,,,,,,,,,
mardi 1 décembre 2020,,,,,,,,,,,,,,
mercredi 2 décembre 2020,,,,CAP 🏃‍♂️,,5km,,,,,,,,
jeudi 3 décembre 2020,,,,,,,,,,,,,,
vendredi 4 décembre 2020,,,,,,,,,,,,,,
samedi 5 décembre 2020,,,,Velo 🚴,,1h56,,,,,,,,
dimanche 6 décembre 2020,,,,,,,,,,,,,,
lundi 7 décembre 2020,,,,CAP 🏃‍♂️,,6km,,,,,,,,
mardi 8 décembre 2020,,,,,,,,,,,,,,
mercredi 9 décembre 2020,,,,,,,,,,,,,,
jeudi 10 décembre 2020,,,,,,,,,,,,,,
vendredi 11 décembre 2020,,,,,,,,,,,,,,
samedi 12 décembre 2020,,,,,,,,,,,,,,
dimanche 13 décembre 2020,,,,Velo 🚴,,2h37,,,,,,,,
lundi 14 décembre 2020,,,,,,,,,,,,,,
mardi 15 décembre 2020,,,,,,,,,,,,,,
mercredi 16 décembre 2020,,,,CAP 🏃‍♂️,,3km,,,,,,,,
jeudi 17 décembre 2020,,,,,,,,,,,,,,
vendredi 18 décembre 2020,,,,,,,,,,,,,,
samedi 19 décembre 2020,,,,,,,,,,,,,,
dimanche 20 décembre 2020,,,,,,,,,,,,,,
lundi 21 décembre 2020,,,,,,,,,,,,,,
mardi 22 décembre 2020,,,,,,,,,,,,,,
mercredi 23 décembre 2020,,,,,,,,,,,,,,
jeudi 24 décembre 2020,,,,,,,,,,,,,,
vendredi 25 décembre 2020,,,,,,,,,,,,,,
samedi 26 décembre 2020,,,,,,,,,,,,,,
dimanche 27 décembre 2020,,,,,,,,,,,,,,
lundi 28 décembre 2020,,,,,,,,,,,,,,
mardi 29 décembre 2020,,,,,,,,,,,,,,
mercredi 30 décembre 2020,,,,,,,,,,,,,,
jeudi 31 décembre 2020,,,,,,,,,,,,,,
vendredi 1 janvier 2021,,,,,,,,,,,,,,
samedi 2 janvier 2021,,,,Ski nordique,,11km,,,,,,,,
dimanche 3 janvier 2021,,,,Ski nordique,,24km,,,,,,,,
lundi 4 janvier 2021,,,,,,,,,,,,,,
mardi 5 janvier 2021,,,,,,,,,,,,,,
mercredi 6 janvier 2021,,,,,,,,,,,,,,
jeudi 7 janvier 2021,,,,CAP 🏃‍♂️,,9km,,,,,,,,
vendredi 8 janvier 2021,,,,,,,,,,,,,,
samedi 9 janvier 2021,,,,Ski nordique,,12km,,,,,,,,
dimanche 10 janvier 2021,,,,,,,,,,,,,,
lundi 11 janvier 2021,,,,,,,,,,,,,,
mardi 12 janvier 2021,,,,CAP 🏃‍♂️,,7km,,,,,,,,
mercredi 13 janvier 2021,,,,,,,,,,,,,,
jeudi 14 janvier 2021,,,,,,,,,,,,,,
vendredi 15 janvier 2021,,,,,,,,,,,,,,
samedi 16 janvier 2021,,,,,,,,,,,,,,
dimanche 17 janvier 2021,,,,Ski nordique,,14km,,,,,,,,
lundi 18 janvier 2021,,,,,,,,,,,,,,
mardi 19 janvier 2021,,,,,,,,,,,,,,
mercredi 20 janvier 2021,,,,,,,,,,,,,,
jeudi 21 janvier 2021,,,,,,,,,,,,,,
vendredi 22 janvier 2021,,,,,,,,,,,,,,
samedi 23 janvier 2021,,,,,,,,,,,,,,
dimanche 24 janvier 2021,,,,Velo 🚴,,3h24,,,,,,,,
lundi 25 janvier 2021,,,,,,,,,,,,,,
mardi 26 janvier 2021,,,,Velo 🚴,,1h48,,,,,,,,
mercredi 27 janvier 2021,,,,CAP 🏃‍♂️,,2km,,,,,,,,
jeudi 28 janvier 2021,,,,Velo 🚴,,2h45,,,,,,,,
vendredi 29 janvier 2021,,,,,,,,,,,,,,
samedi 30 janvier 2021,,,,,,,,,,,,,,
dimanche 31 janvier 2021,,,,CAP 🏃‍♂️,,5km,,,,,,,,
lundi 1 février 2021,,,,,,,,,,,,,,
mardi 2 février 2021,,,,,,,,,,,,,,
mercredi 3 février 2021,,,,,,,,,,,,,,
jeudi 4 février 2021,,,,CAP 🏃‍♂️,,6km,,,,,,,,
vendredi 5 février 2021,,,,,,,,,,,,,,
samedi 6 février 2021,,,,,,,,,,,,,,
dimanche 7 février 2021,,,,Velo 🚴,,2h16,,,,,,,,
lundi 8 février 2021,,,,,,,,,,,,,,
mardi 9 février 2021,,,,,,,,,,,,,,
mercredi 10 février 2021,,,,,,,,,,,,,,
jeudi 11 février 2021,,,,,,,,,,,,,,
vendredi 12 février 2021,,,,CAP 🏃‍♂️,,5km,,,,,,,,
samedi 13 février 2021,,,,,,,,,,,,,,
dimanche 14 février 2021,,,,Ski nordique,,14km,,,,,,,,
lundi 15 février 2021,,,,Velo 🚴,,2h47,,,,,,,,
mardi 16 février 2021,,,,,,,,,,,,,,
mercredi 17 février 2021,,,,,,,,,,,,,,
jeudi 18 février 2021,,,,,,,,,,,,,,
vendredi 19 février 2021,,,,,,,,,,,,,,
samedi 20 février 2021,,,,Velo 🚴,,2h47,,,,,,,,
dimanche 21 février 2021,,,,,,,,,,,,,,
lundi 22 février 2021,,,,Velo 🚴,,5h24,,,,,,,,
mardi 23 février 2021,,,,,,,,,,,,,,
mercredi 24 février 2021,,,,Velo 🚴,,4h50,,,,,,,,
jeudi 25 février 2021,,,,,,,,,,,,,,
vendredi 26 février 2021,,,,,,,,,,,,,,
samedi 27 février 2021,,,,,,,,,,,,,,
dimanche 28 février 2021,,,,Velo 🚴,,2h1,,,,,,,,
lundi 1 mars 2021,,,,,,,,,,,,,,
mardi 2 mars 2021,,,,,,,,,,,,,,
mercredi 3 mars 2021,,,,,,,,,,,,,,
jeudi 4 mars 2021,,,,,,,,,,,,,,
vendredi 5 mars 2021,,,,,,,,,,,,,,
samedi 6 mars 2021,,,,,,,,,,,,,,
dimanche 7 mars 2021,,,,,,,,,,,,,,
lundi 8 mars 2021,,,,,,,,,,,,,,
mardi 9 mars 2021,,,,,,,,,,,,,,
mercredi 10 mars 2021,,,,,,,,,,,,,,
jeudi 11 mars 2021,,,,,,,,,,,,,,
vendredi 12 mars 2021,,,,,,,,,,,,,,
samedi 13 mars 2021,,,,,,,,,,,,,,
dimanche 14 mars 2021,,,,,,,,,,,,,,
lundi 15 mars 2021,,,,,,,,,,,,,,
mardi 16 mars 2021,,,,,,,,,,,,,,
mercredi 17 mars 2021,,,,,,,,,,,,,,
jeudi 18 mars 2021,,,,,,,,,,,,,,
vendredi 19 mars 2021,,,,,,,,,,,,,,
samedi 20 mars 2021,,,,,,,,,,,,,,
dimanche 21 mars 2021,,,,,,,,,,,,,,
lundi 22 mars 2021,,,,,,,,,,,,,,
mardi 23 mars 2021,,,,,,,,,,,,,,
mercredi 24 mars 2021,,,,,,,,,,,,,,
jeudi 25 mars 2021,,,,,,,,,,,,,,
vendredi 26 mars 2021,,,,,,,,,,,,,,
samedi 27 mars 2021,,,,,,,,,,,,,,
dimanche 28 mars 2021,,,,,,,,,,,,,,
lundi 29 mars 2021,,,,,,,,,,,,,,
mardi 30 mars 2021,,,,CAP 🏃‍♂️,,8km,,,,,,,,
mercredi 31 mars 2021,,,,CAP 🏃‍♂️,,9km,,,,,,,,
jeudi 1 avril 2021,,,,,,,,,,,,,,
vendredi 2 avril 2021,,,,,,,,,,,,,,
samedi 3 avril 2021,,,,,,,,,,,,,,
dimanche 4 avril 2021,,,,,,,,,,,,,,
lundi 5 avril 2021,,,,,,,,,,,,,,
mardi 6 avril 2021,,,,,,,,,,,,,,
mercredi 7 avril 2021,,,,,,,,,,,,,,
jeudi 8 avril 2021,,,,,,,,,,,,,,
vendredi 9 avril 2021,,,,,,,,,,,,,,
